metric,variant_id,units,value,source_field_id,source_label,excel_row
treated_floor_area,code_minimum,ft2,5523.34189474,geometry.tfa,TFA,316
building_envelope_area,code_minimum,ft2,7035.90039837,geometry.building_envelope_area,Building Envelope Area,319
interior_net_volume,code_minimum,ft3,45303.0255529,geometry.vn50,Vn50,318
gross_volume,code_minimum,ft3,58893.9332189,geometry.gross_volume,Gross Volume,320
envelope_area_to_tfa,code_minimum,ft2/ft2,1.27384842953,,,
envelope_area_to_gross_volume,code_minimum,ft2/ft3,0.119467320551,,,
tfa_to_gross_volume,code_minimum,ft2/ft3,0.0937845647736,,,
window_area_north,code_minimum,ft2,354.546743202,geometry.window_area_north,Window Area (North),321
window_area_east,code_minimum,ft2,151.315699264,geometry.window_area_east,Window Area (East),322
window_area_south,code_minimum,ft2,312.917245746,geometry.window_area_south,Window Area (South),323
window_area_west,code_minimum,ft2,0,geometry.window_area_west,Window Area (West),324
window_area_horizontal,code_minimum,ft2,48.7394542618,geometry.window_area_horiz,Window Area (Horiz),325
treated_floor_area,improved_envelope,ft2,5523.34189474,geometry.tfa,TFA,316
building_envelope_area,improved_envelope,ft2,7035.90039837,geometry.building_envelope_area,Building Envelope Area,319
interior_net_volume,improved_envelope,ft3,45303.0255529,geometry.vn50,Vn50,318
gross_volume,improved_envelope,ft3,58893.9332189,geometry.gross_volume,Gross Volume,320
envelope_area_to_tfa,improved_envelope,ft2/ft2,1.27384842953,,,
envelope_area_to_gross_volume,improved_envelope,ft2/ft3,0.119467320551,,,
tfa_to_gross_volume,improved_envelope,ft2/ft3,0.0937845647736,,,
window_area_north,improved_envelope,ft2,354.546743202,geometry.window_area_north,Window Area (North),321
window_area_east,improved_envelope,ft2,151.315699264,geometry.window_area_east,Window Area (East),322
window_area_south,improved_envelope,ft2,312.917245746,geometry.window_area_south,Window Area (South),323
window_area_west,improved_envelope,ft2,0,geometry.window_area_west,Window Area (West),324
window_area_horizontal,improved_envelope,ft2,48.7394542618,geometry.window_area_horiz,Window Area (Horiz),325
treated_floor_area,improved_mech_system,ft2,5523.34189474,geometry.tfa,TFA,316
building_envelope_area,improved_mech_system,ft2,7035.90039837,geometry.building_envelope_area,Building Envelope Area,319
interior_net_volume,improved_mech_system,ft3,45303.0255529,geometry.vn50,Vn50,318
gross_volume,improved_mech_system,ft3,58893.9332189,geometry.gross_volume,Gross Volume,320
envelope_area_to_tfa,improved_mech_system,ft2/ft2,1.27384842953,,,
envelope_area_to_gross_volume,improved_mech_system,ft2/ft3,0.119467320551,,,
tfa_to_gross_volume,improved_mech_system,ft2/ft3,0.0937845647736,,,
window_area_north,improved_mech_system,ft2,354.546743202,geometry.window_area_north,Window Area (North),321
window_area_east,improved_mech_system,ft2,151.315699264,geometry.window_area_east,Window Area (East),322
window_area_south,improved_mech_system,ft2,312.917245746,geometry.window_area_south,Window Area (South),323
window_area_west,improved_mech_system,ft2,0,geometry.window_area_west,Window Area (West),324
window_area_horizontal,improved_mech_system,ft2,48.7394542618,geometry.window_area_horiz,Window Area (Horiz),325
treated_floor_area,enerphit_by_component,ft2,5523.34189474,geometry.tfa,TFA,316
building_envelope_area,enerphit_by_component,ft2,7035.90039837,geometry.building_envelope_area,Building Envelope Area,319
interior_net_volume,enerphit_by_component,ft3,45303.0255529,geometry.vn50,Vn50,318
gross_volume,enerphit_by_component,ft3,58893.9332189,geometry.gross_volume,Gross Volume,320
envelope_area_to_tfa,enerphit_by_component,ft2/ft2,1.27384842953,,,
envelope_area_to_gross_volume,enerphit_by_component,ft2/ft3,0.119467320551,,,
tfa_to_gross_volume,enerphit_by_component,ft2/ft3,0.0937845647736,,,
window_area_north,enerphit_by_component,ft2,354.546743202,geometry.window_area_north,Window Area (North),321
window_area_east,enerphit_by_component,ft2,151.315699264,geometry.window_area_east,Window Area (East),322
window_area_south,enerphit_by_component,ft2,312.917245746,geometry.window_area_south,Window Area (South),323
window_area_west,enerphit_by_component,ft2,0,geometry.window_area_west,Window Area (West),324
window_area_horizontal,enerphit_by_component,ft2,48.7394542618,geometry.window_area_horiz,Window Area (Horiz),325
treated_floor_area,enerphit_by_demand,ft2,5523.34189474,geometry.tfa,TFA,316
building_envelope_area,enerphit_by_demand,ft2,7035.90039837,geometry.building_envelope_area,Building Envelope Area,319
interior_net_volume,enerphit_by_demand,ft3,45303.0255529,geometry.vn50,Vn50,318
gross_volume,enerphit_by_demand,ft3,58893.9332189,geometry.gross_volume,Gross Volume,320
envelope_area_to_tfa,enerphit_by_demand,ft2/ft2,1.27384842953,,,
envelope_area_to_gross_volume,enerphit_by_demand,ft2/ft3,0.119467320551,,,
tfa_to_gross_volume,enerphit_by_demand,ft2/ft3,0.0937845647736,,,
window_area_north,enerphit_by_demand,ft2,354.546743202,geometry.window_area_north,Window Area (North),321
window_area_east,enerphit_by_demand,ft2,151.315699264,geometry.window_area_east,Window Area (East),322
window_area_south,enerphit_by_demand,ft2,312.917245746,geometry.window_area_south,Window Area (South),323
window_area_west,enerphit_by_demand,ft2,0,geometry.window_area_west,Window Area (West),324
window_area_horizontal,enerphit_by_demand,ft2,48.7394542618,geometry.window_area_horiz,Window Area (Horiz),325
