metric,role,variant_id,units,value,source_field_id,source_label,excel_row
heat_demand,result,code_minimum,kWh,26467.5220074,certification_results.heat_demand,Heat Demand,459
heat_demand,limit,code_minimum,kWh,0,certification_limits.heat_demand_limit,Heat Demand Limit,363
sensible_cooling_demand,result,code_minimum,kWh,5536.50469334,certification_results.sensible_cooling_demand,Sensible Cooling Demand,460
sensible_cooling_demand,limit,code_minimum,kWh,7697.02879236,certification_limits.sensible_cooling_demand_limit,Sensible Cooling Demand Limit,364
latent_cooling_demand,result,code_minimum,kWh,768.620991653,certification_results.latent_cooling_demand,Latent Cooling Demand,461
latent_cooling_demand,limit,code_minimum,kWh,0,certification_limits.latent_cooling_demand_limit,Latent Cooling Demand Limit,365
total_cooling_demand,result,code_minimum,kWh,6305.12568498,certification_results.total_cooling_demand,Total Cooling Demand,462
total_cooling_demand,limit,code_minimum,kWh,0,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
peak_heat_load,result,code_minimum,W,18750.9325449,certification_results.peak_heat_load,Peak Heat Load,463
peak_heat_load,limit,code_minimum,W,0,certification_limits.peak_heat_load_limit,Peak Heat Load Limit,367
peak_cooling_load,result,code_minimum,W,8869.02388516,certification_results.peak_cooling_load,Peak Cooling Load,464
peak_cooling_load,limit,code_minimum,W,4532.4494482,certification_limits.peak_cooling_load_limit,Peak Cooling Load Limit,368
pe_demand,result,code_minimum,kWh,93876.9694377,certification_results.pe_demand,PE Demand,465
pe_demand,limit,code_minimum,kWh,0,certification_limits.pe_limit,PE Limit,369
per_demand,result,code_minimum,kWh,47236.155683,certification_results.per_demand,PER Demand,466
per_demand,limit,code_minimum,kWh,59010.5540748,certification_limits.per_limit,PER Limit,370
phius_net_source_energy,limit,code_minimum,kWh,11689.9882409,certification_limits.phius_net_source_energy_limit,PHIUS Net Source Energy Limit,371
heat_demand,result,improved_envelope,kWh,19877.4323932,certification_results.heat_demand,Heat Demand,459
