section,field_id,phpp_label,variant_id,variant_name,datatype,units,value,excel_row
geometry,geometry.tfa,TFA,code_minimum,Code Minimum,TFA,m2,513.135252824,316
geometry,geometry.tfa,TFA,improved_envelope,Improved Envelope,TFA,m2,513.135252824,316
geometry,geometry.tfa,TFA,improved_mech_system,Improved Mech. System,TFA,m2,513.135252824,316
geometry,geometry.tfa,TFA,enerphit_by_component,EnerPHit By Component,TFA,m2,513.135252824,316
geometry,geometry.tfa,TFA,enerphit_by_demand,EnerPHit by Demand,TFA,m2,513.135252824,316
geometry,geometry.vv,VV,code_minimum,Code Minimum,VV,m3,1282.83813206,317
geometry,geometry.vv,VV,improved_envelope,Improved Envelope,VV,m3,1282.83813206,317
geometry,geometry.vv,VV,improved_mech_system,Improved Mech. System,VV,m3,1282.83813206,317
geometry,geometry.vv,VV,enerphit_by_component,EnerPHit By Component,VV,m3,1282.83813206,317
geometry,geometry.vv,VV,enerphit_by_demand,EnerPHit by Demand,VV,m3,1282.83813206,317
geometry,geometry.vn50,Vn50,code_minimum,Code Minimum,Vn50,m3,1282.83882479,318
geometry,geometry.vn50,Vn50,improved_envelope,Improved Envelope,Vn50,m3,1282.83882479,318
geometry,geometry.vn50,Vn50,improved_mech_system,Improved Mech. System,Vn50,m3,1282.83882479,318
geometry,geometry.vn50,Vn50,enerphit_by_component,EnerPHit By Component,Vn50,m3,1282.83882479,318
geometry,geometry.vn50,Vn50,enerphit_by_demand,EnerPHit by Demand,Vn50,m3,1282.83882479,318
geometry,geometry.building_envelope_area,Building Envelope Area,code_minimum,Code Minimum,Building Envelope Area,m2,653.656535946,319
geometry,geometry.building_envelope_area,Building Envelope Area,improved_envelope,Improved Envelope,Building Envelope Area,m2,653.656535946,319
geometry,geometry.building_envelope_area,Building Envelope Area,improved_mech_system,Improved Mech. System,Building Envelope Area,m2,653.656535946,319
geometry,geometry.building_envelope_area,Building Envelope Area,enerphit_by_component,EnerPHit By Component,Building Envelope Area,m2,653.656535946,319
